id,context,question,answer_label_idx,label_A,label_B,label_C,label_D
13-859,scraping an object may cause small particles to break off of that object,"Oak tree seeds are planted and a sidewalk is paved right next to that spot, until eventually, the tree is tall and the roots must extend past the sidewalk, which means",2,roots may fall apart,roots may begin to die,parts may break the concrete,roots may be split
13-860,boiling is when liquids are heated above their boiling point,Which will take the longest to reach a boiling point,2,tea kettle,fish tank,swimming pool,bath tub
13-861,an animal usually requires a warm body temperature for survival,If a reptile were taken to the iceland it would,3,have many babies,thrive,build a home,die
13-864,electrocution causes harm to an organism,"If a mouse is running in a field with a fence that will provide a shock to those that touch it, and the mouse tries to climb up it, it will most likely",2,keep doing it,try it again,be fatally injured,enjoy the feeling
13-865,camouflage is a kind of protection against predators,A creature that completely goes unnoticed and unseen against a mottled leaf backdrop is probably,3,indoors,glowing,neon,matching
13-866,a renewable resource can be renewed,Which of the following resources can reproduce to replenish it's stock?,1,Coal,Wood,Salt,Petroleum
13-867,air is a vehicle for sound,What makes it difficult to hear on the moon?,0,lack of air,stiff breezes,wind,sea monsters
13-870,the type of seed of a plant is an inherited characteristic,A person may inherit their mom's,1,boat,stooped shoulders,cat,building
13-871,cycles of freezing and thawing water cause ice wedging,Ice wedging is caused by cycles of freezing and thawing of what?,0,h2o,plants,winds,animals
13-874,using a car causes pollution,What will happen if more people bike instead of drive cars?,2,more cars will be bought,more deer will get hit by cars,it will be easier to breathe,less people will ride bikes
13-875,timber companies cut down trees,What is a likely product of a timber companies activities?,1,the battery of your cell phone,the ruler in your backpack,the porcelain in your toilet,the bottle you drink from
13-880,wood is a renewable resource,These would likely be broken down and recycled,2,waste helium,waste hydrogen,pallets,waste oil
13-881,if too much heat is transferred to an object then that object may burn,"If a house burns down, the goldfish inside may do what?",0,quit swimming,be hungry,grow,get smarter
13-882,if a substance absorbs solar energy then that substance will increase in temperature,Frozen steak which has been in the sun all day will,0,defrost,freeze,give birth,become sentient
13-883,if a liquid disappears then that liquid probably evaporated,If a liquid disappears then what probably happened to it?,0,gas transformation,solidifying,melting,cooling
13-885,conserving water can be used for survival in a dry environment,Conserving water can be used for survival where?,2,seas,oceans,sandy land,towns
13-886,a quartz is made of six-sided transparent crystals,"If a see through thing is multifaceted, it is most likely",3,a ball,an apple,a silver globe,a quartz square
13-887,the Earth revolves around the sun,human planet revolves around the sun in,2,a day,a week,365 earthen rotations,a eon
13-888,if the population of an organism increases then the ecosystem may become overpopulated with that organism,The many ponds in the area along with massive swarms of mosquitoes lead the dragonflies to,1,convert the area into swampland,experience a sharp increase in available resources,leave the area in search of a better habitat,experience a dramatic decrease in population
13-890,the cells of multicellular organisms can specialize,the cells of golden retrievers can,3,spontaneously combust,change colors,liquify,specialize
13-891,national parks limit hunting,"if a person wanted to hunt down some deer, which of these would be the wrong place to visit?",1,the local hunting reservation,a known national reservation,an uncharted wilderness region,a natural unregulated forest
13-892,seasonal changes are made in response to changes in the environment,What does the earth orbit that causes the seasons to change?,0,plasma star,venus,saturn,mercury
13-894,"as distance from an object decreases , that object will appear larger","If you wanted the visual effect of being closer to something without moving, what would you use?",0,An old spyglass,Squinting your eyes,A large mirror,Some good sunglasses
13-897,moving changes stored energy into motion and heat,kinetics change stored energy into motion and,3,snacks,naps,kites,warmth
13-898,planets orbit stars,Which orbits a star?,0,Neptune,a galaxy,the sun,the moon
13-899,producing light is used for attracting prey by some deep sea animals,Angler fish hunt by using,2,fishermen,spear guns,illumination,fishing poles
13-900,An example of a fossil is a footprint in a rock,One odd fossil that may have been discovered is,3,feelings,love,vortexes,poop
13-901,a tape measure is used to measure distance,which one of these would be easiest to measure with a tape?,3,a quart of motor oil,contents of a wine bottle,contents of a can of beer,a freshly baked loaf of bread
13-902,a complete revolution of the Earth around the sun takes one solar year,The earth has completed half of its yearly orbit of the sun and will complete the other half in,3,two weeks,seven months,365 days,182 days
13-903,light enters the eye through the pupil,Light enters what through the pupil?,1,skin,visual organ,eye spy,eye diagram
13-904,a mouse gives birth to live young,A mouse give birth to ____ while a bird give birth to ____,1,mouse eggs; live babies,live babies; unhatched eggs,live babies; live babies,mouse eggs; rat eggs
13-907,if an object is exposed to a source of heat then that conductor may become hot,What is most likely to happen to a roof as the sun comes into contact with it?,2,it will fall apart,it will cry out in pain,it will heat up over time,it will cool down over time
13-910,"when a sound is produced inside of a room , there is sometimes an echo after the sound",Having a conversation in rooms with bare cement can be challenging because of,1,dancing clown guys,bouncing sound waves,problematic triggered dingoes,egg cartons
13-912,panting is when an animal hangs its tongue out of its mouth to adjust to hot temperatures,"On a summer day, a dog stuck outside will",2,be dripping with sweat,lick at the window,appear to be smiling with its mouth open,curl up somewhere and shiver
13-913,wind and rain cause erosion,Imagine astronauts traveling to a distant asteroid as it passes near Earth. During their mission they leave behind boot prints. How long will these potentially last?,2,several months,5 years,thousands of years,2 weeks
